Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1076446,REDACTED PERSONAL DATA,4723271,490698,01/07/2022,571.29,0,JEA,Senior Management,4811,Residence Orders,Children'S Services
Blackpool Council,1076446,REDACTED PERSONAL DATA,4723272,490475,01/07/2022,571.29,0,JEA,Senior Management,4811,Residence Orders,Children'S Services
Blackpool Council,1077446,REDACTED PERSONAL DATA,4723273,490596,01/07/2022,593.43,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1078284,REDACTED PERSONAL DATA,4723274,490699,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1078667,REDACTED PERSONAL DATA,4723275,490935,01/07/2022,2113.42,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1078667,REDACTED PERSONAL DATA,4723276,490680,01/07/2022,1890.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1078667,REDACTED PERSONAL DATA,4723277,490934,01/07/2022,1890.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1078667,REDACTED PERSONAL DATA,4723278,490730,01/07/2022,1047.43,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1078667,REDACTED PERSONAL DATA,4723279,490586,01/07/2022,1734.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1079501,REDACTED PERSONAL DATA,4723280,490503,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1079745,REDACTED PERSONAL DATA,4723281,490602,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1080101,REDACTED PERSONAL DATA,4723282,490539,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1080290,REDACTED PERSONAL DATA,4723283,490525,01/07/2022,1266.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1080290,REDACTED PERSONAL DATA,4723284,490516,01/07/2022,1266.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1080411,REDACTED PERSONAL DATA,4723285,490696,01/07/2022,593.43,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1081971,REDACTED PERSONAL DATA,4723286,490890,01/07/2022,1160.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1082124,REDACTED PERSONAL DATA,4723287,490707,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1082803,REDACTED PERSONAL DATA,4723288,490780,01/07/2022,690.86,0,JEA,Senior Management,4811,Residence Orders,Children'S Services
Blackpool Council,1082803,REDACTED PERSONAL DATA,4723289,490461,01/07/2022,783.86,0,JEA,Senior Management,4811,Residence Orders,Children'S Services
Blackpool Council,1082861,REDACTED PERSONAL DATA,4723290,490649,01/07/2022,1868.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1082861,REDACTED PERSONAL DATA,4723291,490526,01/07/2022,1775.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1082861,REDACTED PERSONAL DATA,4723292,490743,01/07/2022,1868.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1082861,REDACTED PERSONAL DATA,4723293,490928,01/07/2022,2001.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1083419,REDACTED PERSONAL DATA,4723294,490907,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1083907,REDACTED PERSONAL DATA,4723295,490720,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1083907,REDACTED PERSONAL DATA,4723296,490564,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1083907,REDACTED PERSONAL DATA,4723297,490628,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1085922,REDACTED PERSONAL DATA,4723298,490823,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1085923,REDACTED PERSONAL DATA,4723299,490715,01/07/2022,1160.29,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1085923,REDACTED PERSONAL DATA,4723300,490851,01/07/2022,1116,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1085923,REDACTED PERSONAL DATA,4723301,490535,01/07/2022,690.86,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1085923,REDACTED PERSONAL DATA,4723302,490627,01/07/2022,1293.14,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1085928,REDACTED PERSONAL DATA,4723303,490542,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1085928,REDACTED PERSONAL DATA,4723304,490824,01/07/2022,571.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1085931,REDACTED PERSONAL DATA,4723305,490888,01/07/2022,916.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086524,REDACTED PERSONAL DATA,4723306,490583,01/07/2022,2156.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086524,REDACTED PERSONAL DATA,4723307,490867,01/07/2022,2156.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086524,REDACTED PERSONAL DATA,4723308,490868,01/07/2022,2379.14,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086524,REDACTED PERSONAL DATA,4723309,490799,01/07/2022,2156.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086524,REDACTED PERSONAL DATA,4723310,490663,01/07/2022,2156.29,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1086638,REDACTED PERSONAL DATA,4723311,490817,01/07/2022,593.43,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1087223,REDACTED PERSONAL DATA,4723312,490816,01/07/2022,593.43,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1087223,REDACTED PERSONAL DATA,4723313,490714,01/07/2022,593.43,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1088072,REDACTED PERSONAL DATA,4723314,490485,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1088081,REDACTED PERSONAL DATA,4723315,490719,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1088133,REDACTED PERSONAL DATA,4723317,490633,01/07/2022,675.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1088246,REDACTED PERSONAL DATA,4723318,490597,01/07/2022,690.86,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
